state,district,year,nitrate
West Bengal,24 Paraganas North,2000,7.375
West Bengal,24 Paraganas North,2001,35.836666
West Bengal,24 Paraganas North,2002,11.273889
West Bengal,24 Paraganas North,2003,35.836666
West Bengal,24 Paraganas North,2004,6.1854167
West Bengal,24 Paraganas North,2005,18.0
West Bengal,24 Paraganas North,2006,35.836666
West Bengal,24 Paraganas North,2007,6.1915002
West Bengal,24 Paraganas North,2008,12.0
West Bengal,24 Paraganas North,2009,35.836666
West Bengal,24 Paraganas North,2010,35.836666
West Bengal,24 Paraganas North,2011,35.836666
West Bengal,24 Paraganas North,2012,35.836666
West Bengal,24 Paraganas North,2013,35.836666
West Bengal,24 Paraganas North,2014,35.836666
West Bengal,24 Paraganas North,2015,35.836666
West Bengal,24 Paraganas North,2016,17.093334
West Bengal,24 Paraganas North,2017,6.3233333
West Bengal,24 Paraganas North,2018,6.8807812
West Bengal,24 Paraganas South,2000,3.9666667
West Bengal,24 Paraganas South,2001,18.095715
West Bengal,24 Paraganas South,2002,2.6500001
West Bengal,24 Paraganas South,2003,35.836666
West Bengal,24 Paraganas South,2004,7.1428571
West Bengal,24 Paraganas South,2005,4.5500002
West Bengal,24 Paraganas South,2006,35.836666
West Bengal,24 Paraganas South,2007,6.7747369
West Bengal,24 Paraganas South,2008,35.836666
West Bengal,24 Paraganas South,2009,8.272727
West Bengal,24 Paraganas South,2010,35.836666
West Bengal,24 Paraganas South,2011,35.836666
West Bengal,24 Paraganas South,2012,5.6059999
West Bengal,24 Paraganas South,2013,3.768889
West Bengal,24 Paraganas South,2014,35.836666
West Bengal,24 Paraganas South,2015,35.836666
West Bengal,24 Paraganas South,2016,4.6857142
West Bengal,24 Paraganas South,2017,17.50926
West Bengal,24 Paraganas South,2018,1.0442858
Telangana,Adilabad,2000,59.799999
Telangana,Adilabad,2001,26.78857
Telangana,Adilabad,2002,32.011429
Telangana,Adilabad,2003,62.0
Telangana,Adilabad,2004,48.5
Telangana,Adilabad,2005,62.0
Telangana,Adilabad,2006,54.836365
Telangana,Adilabad,2007,55.700001
Telangana,Adilabad,2008,92.36364
Telangana,Adilabad,2009,81.375
Telangana,Adilabad,2010,69.818184
Telangana,Adilabad,2011,108.90909
Telangana,Adilabad,2012,66.333336
Telangana,Adilabad,2013,89.272728
Telangana,Adilabad,2014,73.63636
Telangana,Adilabad,2015,79.666664
Telangana,Adilabad,2016,122.75
Telangana,Adilabad,2017,52.166668
Telangana,Adilabad,2018,46.0
Uttar Pradesh,Agra,2000,16.857143
Uttar Pradesh,Agra,2001,35.836666
Uttar Pradesh,Agra,2002,74.5
Uttar Pradesh,Agra,2003,35.836666
Uttar Pradesh,Agra,2004,26.799999
Uttar Pradesh,Agra,2005,57.691666
Uttar Pradesh,Agra,2006,35.836666
Uttar Pradesh,Agra,2007,35.836666
Uttar Pradesh,Agra,2008,35.836666
Uttar Pradesh,Agra,2009,35.836666
Uttar Pradesh,Agra,2010,35.836666
Uttar Pradesh,Agra,2011,35.836666
Uttar Pradesh,Agra,2012,35.836666
Uttar Pradesh,Agra,2013,35.836666
Uttar Pradesh,Agra,2014,35.836666
Uttar Pradesh,Agra,2015,35.836666
Uttar Pradesh,Agra,2016,53.331429
Uttar Pradesh,Agra,2017,35.836666
Uttar Pradesh,Agra,2018,15.202857
Gujarat,Ahmadabad,2000,105.8
Gujarat,Ahmadabad,2001,35.836666
Gujarat,Ahmadabad,2002,31.846153
Gujarat,Ahmadabad,2003,35.836666
Gujarat,Ahmadabad,2004,25.200001
Gujarat,Ahmadabad,2005,61.333332
Gujarat,Ahmadabad,2006,87.058334
Gujarat,Ahmadabad,2007,55.5
Gujarat,Ahmadabad,2008,37.799999
Gujarat,Ahmadabad,2009,89.099998
Gujarat,Ahmadabad,2010,144.0
Gujarat,Ahmadabad,2011,66.800003
Gujarat,Ahmadabad,2012,33.666668
Gujarat,Ahmadabad,2013,32.5
Gujarat,Ahmadabad,2014,40.272728
Gujarat,Ahmadabad,2015,16.299999
Gujarat,Ahmadabad,2016,29.799999
Gujarat,Ahmadabad,2017,217.7
Gujarat,Ahmadabad,2018,29.125
Maharashtra,Ahmednagar,2000,32.275864
Maharashtra,Ahmednagar,2001,111.92
Maharashtra,Ahmednagar,2002,66.599998
Maharashtra,Ahmednagar,2003,35.836666
Maharashtra,Ahmednagar,2004,58.882355
Maharashtra,Ahmednagar,2005,83.533333
Maharashtra,Ahmednagar,2006,61.820515
Maharashtra,Ahmednagar,2007,95.085365
Maharashtra,Ahmednagar,2008,68.929756
Maharashtra,Ahmednagar,2009,110.8
Maharashtra,Ahmednagar,2010,89.0
Maharashtra,Ahmednagar,2011,68.8125
Maharashtra,Ahmednagar,2012,29.086956
Maharashtra,Ahmednagar,2013,31.222221
Maharashtra,Ahmednagar,2014,27.733334
Maharashtra,Ahmednagar,2015,25.631578
Maharashtra,Ahmednagar,2016,20.6
Maharashtra,Ahmednagar,2017,107.65484
Maharashtra,Ahmednagar,2018,30.12245
Rajasthan,Ajmer,2000,47.32143
Rajasthan,Ajmer,2001,43.796452
Rajasthan,Ajmer,2002,54.687271
Rajasthan,Ajmer,2003,35.836666
Rajasthan,Ajmer,2004,47.279312
Rajasthan,Ajmer,2005,79.463638
Rajasthan,Ajmer,2006,91.73333
Rajasthan,Ajmer,2007,83.324089
Rajasthan,Ajmer,2008,54.0625
Rajasthan,Ajmer,2009,40.196205
Rajasthan,Ajmer,2010,36.700909
Rajasthan,Ajmer,2011,59.147144
Rajasthan,Ajmer,2012,65.192307
Rajasthan,Ajmer,2013,102.25
Rajasthan,Ajmer,2014,43.238094
Rajasthan,Ajmer,2015,132.0
Rajasthan,Ajmer,2016,30.833334
Rajasthan,Ajmer,2017,65.454544
Rajasthan,Ajmer,2018,69.010529
Maharashtra,Akola,2000,154.45454
Maharashtra,Akola,2001,27.357143
Maharashtra,Akola,2002,19.200001
Maharashtra,Akola,2003,35.836666
Maharashtra,Akola,2004,89.894737
Maharashtra,Akola,2005,80.181816
Maharashtra,Akola,2006,59.615383
Maharashtra,Akola,2007,90.11895
Maharashtra,Akola,2008,82.89875
Maharashtra,Akola,2009,105.53846
Maharashtra,Akola,2010,105.22222
Maharashtra,Akola,2011,104.85714
Maharashtra,Akola,2012,45.833332
Maharashtra,Akola,2013,41.53846
Maharashtra,Akola,2014,0.0
Maharashtra,Akola,2015,34.5
Maharashtra,Akola,2016,36.714287
Maharashtra,Akola,2017,78.285713
Maharashtra,Akola,2018,27.8125
Kerala,Alappuzha,2000,3.3499999
Kerala,Alappuzha,2001,6.7789474
Kerala,Alappuzha,2002,4.4277778
Kerala,Alappuzha,2003,35.836666
Kerala,Alappuzha,2004,13.4564
Kerala,Alappuzha,2005,5.2645831
Kerala,Alappuzha,2006,35.836666
Kerala,Alappuzha,2007,5.7787881
Kerala,Alappuzha,2008,1.6
Kerala,Alappuzha,2009,5.895278
Kerala,Alappuzha,2010,4.7421622
Kerala,Alappuzha,2011,4.0329413
Kerala,Alappuzha,2012,7.1212502
Kerala,Alappuzha,2013,5.6789999
Kerala,Alappuzha,2014,3.9551725
Kerala,Alappuzha,2015,5.0566669
Kerala,Alappuzha,2016,6.9071426
Kerala,Alappuzha,2017,9.5916662
Kerala,Alappuzha,2018,9.2560978
Uttar Pradesh,Aligarh,2000,50.5
Uttar Pradesh,Aligarh,2001,35.836666
Uttar Pradesh,Aligarh,2002,34.057144
Uttar Pradesh,Aligarh,2003,35.836666
Uttar Pradesh,Aligarh,2004,24.799999
Uttar Pradesh,Aligarh,2005,69.779999
Uttar Pradesh,Aligarh,2006,35.836666
Uttar Pradesh,Aligarh,2007,35.836666
Uttar Pradesh,Aligarh,2008,35.836666
Uttar Pradesh,Aligarh,2009,35.836666
Uttar Pradesh,Aligarh,2010,35.836666
Uttar Pradesh,Aligarh,2011,35.836666
Uttar Pradesh,Aligarh,2012,35.836666
Uttar Pradesh,Aligarh,2013,35.836666
Uttar Pradesh,Aligarh,2014,35.836666
Uttar Pradesh,Aligarh,2015,35.836666
Uttar Pradesh,Aligarh,2016,19.825001
Uttar Pradesh,Aligarh,2017,35.836666
Uttar Pradesh,Aligarh,2018,51.0
West Bengal,Alipurduar,2000,16.799999
West Bengal,Alipurduar,2001,14.425
West Bengal,Alipurduar,2002,8.5159998
West Bengal,Alipurduar,2003,35.836666
West Bengal,Alipurduar,2004,6.1500001
West Bengal,Alipurduar,2005,35.836666
West Bengal,Alipurduar,2006,5.4099998
West Bengal,Alipurduar,2007,35.836666
West Bengal,Alipurduar,2008,1.6875
West Bengal,Alipurduar,2009,1.6857142
West Bengal,Alipurduar,2010,35.836666
West Bengal,Alipurduar,2011,35.836666
West Bengal,Alipurduar,2012,35.836666
West Bengal,Alipurduar,2013,5.6999998
West Bengal,Alipurduar,2014,35.836666
West Bengal,Alipurduar,2015,35.836666
West Bengal,Alipurduar,2016,8.1111107
West Bengal,Alipurduar,2017,17.042858
West Bengal,Alipurduar,2018,15.725
Madhya Pradesh,Alirajpur,2000,26.92
Madhya Pradesh,Alirajpur,2001,36.285713
Madhya Pradesh,Alirajpur,2002,97.0
Madhya Pradesh,Alirajpur,2003,35.836666
Madhya Pradesh,Alirajpur,2004,87.85714
Madhya Pradesh,Alirajpur,2005,35.836666
Madhya Pradesh,Alirajpur,2006,24.822222
Madhya Pradesh,Alirajpur,2007,62.400002
Madhya Pradesh,Alirajpur,2008,122.0
Madhya Pradesh,Alirajpur,2009,44.777779
Madhya Pradesh,Alirajpur,2010,103.11111
Madhya Pradesh,Alirajpur,2011,69.033333
Madhya Pradesh,Alirajpur,2012,98.222221
Madhya Pradesh,Alirajpur,2013,107.5
Madhya Pradesh,Alirajpur,2014,82.63636
Madhya Pradesh,Alirajpur,2015,58.363636
Madhya Pradesh,Alirajpur,2016,32.200001
Madhya Pradesh,Alirajpur,2017,98.083336
Madhya Pradesh,Alirajpur,2018,29.5
Uttarakhand,Almora,2000,35.836666
Uttarakhand,Almora,2001,35.836666
Uttarakhand,Almora,2002,35.836666
Uttarakhand,Almora,2003,35.836666
Uttarakhand,Almora,2004,35.836666
Uttarakhand,Almora,2005,35.836666
Uttarakhand,Almora,2006,35.836666
Uttarakhand,Almora,2007,35.836666
Uttarakhand,Almora,2008,35.836666
Uttarakhand,Almora,2009,13.0
Uttarakhand,Almora,2010,35.836666
Uttarakhand,Almora,2011,35.836666
Uttarakhand,Almora,2012,4.5999999
Uttarakhand,Almora,2013,35.836666
Uttarakhand,Almora,2014,35.836666
Uttarakhand,Almora,2015,35.836666
Uttarakhand,Almora,2016,17.0
Uttarakhand,Almora,2017,35.836666
Uttarakhand,Almora,2018,35.836666
Rajasthan,Alwar,2000,71.431816
Rajasthan,Alwar,2001,56.81818
Rajasthan,Alwar,2002,50.825806
Rajasthan,Alwar,2003,35.836666
Rajasthan,Alwar,2004,48.894287
Rajasthan,Alwar,2005,70.635292
Rajasthan,Alwar,2006,69.191818
Rajasthan,Alwar,2007,45.6185
Rajasthan,Alwar,2008,86.96917
Rajasthan,Alwar,2009,69.225807
Rajasthan,Alwar,2010,52.416668
Rajasthan,Alwar,2011,34.315777
Rajasthan,Alwar,2012,66.862961
Rajasthan,Alwar,2013,78.692307
Rajasthan,Alwar,2014,42.588234
Rajasthan,Alwar,2015,49.040001
Rajasthan,Alwar,2016,42.682499
Rajasthan,Alwar,2017,58.341
Rajasthan,Alwar,2018,21.711481
Haryana,Ambala,2000,21.329412
Haryana,Ambala,2001,3.8
Haryana,Ambala,2002,44.86842
Haryana,Ambala,2003,35.836666
Haryana,Ambala,2004,110.75333
Haryana,Ambala,2005,84.116669
Haryana,Ambala,2006,50.096363
Haryana,Ambala,2007,73.433334
Haryana,Ambala,2008,59.419998
Haryana,Ambala,2009,139.5625
Haryana,Ambala,2010,99.785713
Haryana,Ambala,2011,21.566668
Haryana,Ambala,2012,56.82143
Haryana,Ambala,2013,25.721428
Haryana,Ambala,2014,82.95385
Haryana,Ambala,2015,11.5
Haryana,Ambala,2016,77.723076
Haryana,Ambala,2017,88.82
Haryana,Ambala,2018,33.458126
Uttar Pradesh,Ambedkar Nagar,2000,4.4050002
Uttar Pradesh,Ambedkar Nagar,2001,13.0
Uttar Pradesh,Ambedkar Nagar,2002,7.0
Uttar Pradesh,Ambedkar Nagar,2003,35.836666
Uttar Pradesh,Ambedkar Nagar,2004,29.75
Uttar Pradesh,Ambedkar Nagar,2005,35.836666
Uttar Pradesh,Ambedkar Nagar,2006,35.836666
Uttar Pradesh,Ambedkar Nagar,2007,35.836666
Uttar Pradesh,Ambedkar Nagar,2008,35.836666
Uttar Pradesh,Ambedkar Nagar,2009,35.836666
Uttar Pradesh,Ambedkar Nagar,2010,35.836666
Uttar Pradesh,Ambedkar Nagar,2011,35.836666
Uttar Pradesh,Ambedkar Nagar,2012,35.836666
Uttar Pradesh,Ambedkar Nagar,2013,35.836666
Uttar Pradesh,Ambedkar Nagar,2014,35.836666
Uttar Pradesh,Ambedkar Nagar,2015,35.836666
Uttar Pradesh,Ambedkar Nagar,2016,9.9099998
Uttar Pradesh,Ambedkar Nagar,2017,35.836666
Uttar Pradesh,Ambedkar Nagar,2018,3.4285715
Maharashtra,Amravati,2000,167.23393
Maharashtra,Amravati,2001,33.482609
Maharashtra,Amravati,2002,43.341465
Maharashtra,Amravati,2003,35.836666
Maharashtra,Amravati,2004,79.178726
Maharashtra,Amravati,2005,79.313766
Maharashtra,Amravati,2006,119.16611
Maharashtra,Amravati,2007,122.91087
Maharashtra,Amravati,2008,144.89018
Maharashtra,Amravati,2009,109.77273
Maharashtra,Amravati,2010,84.75
Maharashtra,Amravati,2011,121.84
Maharashtra,Amravati,2012,33.02927
Maharashtra,Amravati,2013,44.666668
Maharashtra,Amravati,2014,1.8758065
Maharashtra,Amravati,2015,30.76
Maharashtra,Amravati,2016,29.063492
Maharashtra,Amravati,2017,93.92424
Maharashtra,Amravati,2018,25.938749
Gujarat,Amreli,2000,91.826088
Gujarat,Amreli,2001,35.836666
Gujarat,Amreli,2002,43.68182
Gujarat,Amreli,2003,35.836666
Gujarat,Amreli,2004,93.6875
Gujarat,Amreli,2005,102.60714
Gujarat,Amreli,2006,94.152382
Gujarat,Amreli,2007,87.0
Gujarat,Amreli,2008,83.108109
Gujarat,Amreli,2009,71.974358
Gujarat,Amreli,2010,91.827583
Gujarat,Amreli,2011,86.605263
Gujarat,Amreli,2012,101.12904
Gujarat,Amreli,2013,70.730766
Gujarat,Amreli,2014,72.457146
Gujarat,Amreli,2015,61.560974
Gujarat,Amreli,2016,70.605263
Gujarat,Amreli,2017,72.121948
Gujarat,Amreli,2018,52.200001
Punjab,Amritsar,2000,17.08
Punjab,Amritsar,2001,0.0
Punjab,Amritsar,2002,32.099998
Punjab,Amritsar,2003,35.836666
Punjab,Amritsar,2004,7.79
Punjab,Amritsar,2005,1.74
Punjab,Amritsar,2006,5.1999998
Punjab,Amritsar,2007,40.157143
Punjab,Amritsar,2008,30.35
Punjab,Amritsar,2009,55.5
Punjab,Amritsar,2010,25.483334
Punjab,Amritsar,2011,11.4
Punjab,Amritsar,2012,25.577778
Punjab,Amritsar,2013,21.688889
Punjab,Amritsar,2014,52.037777
Punjab,Amritsar,2015,25.522223
Punjab,Amritsar,2016,27.555555
Punjab,Amritsar,2017,14.333333
Punjab,Amritsar,2018,16.771999
Uttar Pradesh,Amroha,2000,35.836666
Uttar Pradesh,Amroha,2001,5.0
Uttar Pradesh,Amroha,2002,35.836666
Uttar Pradesh,Amroha,2003,35.836666
Uttar Pradesh,Amroha,2004,87.0
Uttar Pradesh,Amroha,2005,35.836666
Uttar Pradesh,Amroha,2006,35.836666
Uttar Pradesh,Amroha,2007,35.836666
Uttar Pradesh,Amroha,2008,35.836666
Uttar Pradesh,Amroha,2009,35.836666
Uttar Pradesh,Amroha,2010,35.836666
Uttar Pradesh,Amroha,2011,35.836666
Uttar Pradesh,Amroha,2012,35.836666
