state,district,year,nitrate,sdp,gini index
west bengal,24 paraganas north,2000,7.375,129691.0,
west bengal,24 paraganas north,2001,35.836666,139057.0,
west bengal,24 paraganas north,2002,11.273889,143931.0,
west bengal,24 paraganas north,2003,35.836666,152388.0,
west bengal,24 paraganas north,2004,6.1854167,190029.0,
west bengal,24 paraganas north,2005,18.0,201994.0,
west bengal,24 paraganas north,2006,35.836666,217849.0,
west bengal,24 paraganas north,2007,6.1915002,234798.0,
west bengal,24 paraganas north,2008,12.0,244262.0,
west bengal,24 paraganas north,2009,35.836666,263230.0,
west bengal,24 paraganas north,2010,35.836666,279191.0,
west bengal,24 paraganas north,2011,35.836666,473205.0,
west bengal,24 paraganas north,2012,35.836666,492901.0,
west bengal,24 paraganas north,2013,35.836666,503952.0,
west bengal,24 paraganas north,2014,35.836666,515702.0,
west bengal,24 paraganas north,2015,35.836666,546988.0,
west bengal,24 paraganas north,2016,17.093334,584911.0,
west bengal,24 paraganas north,2017,6.3233333,623787.0,
west bengal,24 paraganas north,2018,6.8807812,659288.0,
west bengal,24 paraganas south,2000,3.9666667,129691.0,
west bengal,24 paraganas south,2001,18.095715,139057.0,
west bengal,24 paraganas south,2002,2.6500001,143931.0,
west bengal,24 paraganas south,2003,35.836666,152388.0,
west bengal,24 paraganas south,2004,7.1428571,190029.0,
west bengal,24 paraganas south,2005,4.5500002,201994.0,
west bengal,24 paraganas south,2006,35.836666,217849.0,
west bengal,24 paraganas south,2007,6.7747369,234798.0,
west bengal,24 paraganas south,2008,35.836666,244262.0,
west bengal,24 paraganas south,2009,8.272727,263230.0,
west bengal,24 paraganas south,2010,35.836666,279191.0,
west bengal,24 paraganas south,2011,35.836666,473205.0,
west bengal,24 paraganas south,2012,5.6059999,492901.0,
west bengal,24 paraganas south,2013,3.768889,503952.0,
west bengal,24 paraganas south,2014,35.836666,515702.0,
west bengal,24 paraganas south,2015,35.836666,546988.0,
west bengal,24 paraganas south,2016,4.6857142,584911.0,
west bengal,24 paraganas south,2017,17.50926,623787.0,
west bengal,24 paraganas south,2018,1.0442858,659288.0,
telangana,adilabad,2000,59.799999,273096.73333333334,0.37
telangana,adilabad,2001,26.78857,273096.73333333334,0.37
telangana,adilabad,2002,32.011429,273096.73333333334,0.37
telangana,adilabad,2003,62.0,273096.73333333334,0.37
telangana,adilabad,2004,48.5,79916.0,0.37
telangana,adilabad,2005,62.0,92751.0,0.37
telangana,adilabad,2006,54.836365,102977.0,0.37
telangana,adilabad,2007,55.700001,113456.0,0.37
telangana,adilabad,2008,92.36364,128918.0,0.37
telangana,adilabad,2009,81.375,129267.0,0.37
telangana,adilabad,2010,69.818184,152123.0,0.37
telangana,adilabad,2011,108.90909,325139.0,0.37
telangana,adilabad,2012,66.333336,334205.0,0.37
telangana,adilabad,2013,89.272728,349593.0,0.37
telangana,adilabad,2014,73.63636,372897.0,0.37
telangana,adilabad,2015,79.666664,416892.0,0.37
telangana,adilabad,2016,122.75,455731.0,0.37
telangana,adilabad,2017,52.166668,498145.0,0.37
telangana,adilabad,2018,46.0,544441.0,0.37
uttar pradesh,agra,2000,16.857143,160015.0,0.26
uttar pradesh,agra,2001,35.836666,162926.0,0.26
uttar pradesh,agra,2002,74.5,168198.0,0.26
uttar pradesh,agra,2003,35.836666,177054.0,0.26
uttar pradesh,agra,2004,26.799999,231029.0,0.26
uttar pradesh,agra,2005,57.691666,244514.0,0.26
uttar pradesh,agra,2006,35.836666,263935.0,0.26
uttar pradesh,agra,2007,35.836666,280851.0,0.26
uttar pradesh,agra,2008,35.836666,302192.0,0.26
uttar pradesh,agra,2009,35.836666,320989.0,0.26
uttar pradesh,agra,2010,35.836666,346621.0,0.26
uttar pradesh,agra,2011,35.836666,645132.0,0.26
uttar pradesh,agra,2012,35.836666,673552.0,0.26
uttar pradesh,agra,2013,35.836666,707469.0,0.26
uttar pradesh,agra,2014,35.836666,729686.0,0.26
uttar pradesh,agra,2015,35.836666,792049.0,0.26
uttar pradesh,agra,2016,53.331429,888453.0,0.26
uttar pradesh,agra,2017,35.836666,922458.0,0.26
uttar pradesh,agra,2018,15.202857,949184.0,0.26
gujarat,ahmadabad,2000,105.8,86431.0,
gujarat,ahmadabad,2001,35.836666,93455.0,
gujarat,ahmadabad,2002,31.846153,101603.0,
gujarat,ahmadabad,2003,35.836666,118525.0,
gujarat,ahmadabad,2004,25.200001,172265.0,
