state,district,year,nitrate,sdp,gini index
west bengal,24 paraganas north,2000,7.375,247972.31111561856,
west bengal,24 paraganas north,2001,35.836666,265880.32837131777,
west bengal,24 paraganas north,2002,11.273889,275199.53359278664,
west bengal,24 paraganas north,2003,35.836666,291369.5209867059,
west bengal,24 paraganas north,2004,6.1854167,310686.6999675226,
west bengal,24 paraganas north,2005,18.0,330248.80030542583,
west bengal,24 paraganas north,2006,35.836666,356170.8313006164,
west bengal,24 paraganas north,2007,6.1915002,383881.4906091932,
west bengal,24 paraganas north,2008,12.0,399354.5969692363,
west bengal,24 paraganas north,2009,35.836666,430366.20743387047,
west bengal,24 paraganas north,2010,35.836666,456461.5424521131,
west bengal,24 paraganas north,2011,35.836666,473205.0,
west bengal,24 paraganas north,2012,35.836666,492901.0,
west bengal,24 paraganas north,2013,35.836666,503952.0,
west bengal,24 paraganas north,2014,35.836666,515702.0,
west bengal,24 paraganas north,2015,35.836666,546988.0,
west bengal,24 paraganas north,2016,17.093334,584911.0,
west bengal,24 paraganas north,2017,6.3233333,623787.0,
west bengal,24 paraganas north,2018,6.8807812,659288.0,
west bengal,24 paraganas south,2000,3.9666667,247972.31111561856,
west bengal,24 paraganas south,2001,18.095715,265880.32837131777,
west bengal,24 paraganas south,2002,2.6500001,275199.53359278664,
west bengal,24 paraganas south,2003,35.836666,291369.5209867059,
west bengal,24 paraganas south,2004,7.1428571,310686.6999675226,
west bengal,24 paraganas south,2005,4.5500002,330248.80030542583,
west bengal,24 paraganas south,2006,35.836666,356170.8313006164,
west bengal,24 paraganas south,2007,6.7747369,383881.4906091932,
west bengal,24 paraganas south,2008,35.836666,399354.5969692363,
west bengal,24 paraganas south,2009,8.272727,430366.20743387047,
west bengal,24 paraganas south,2010,35.836666,456461.5424521131,
west bengal,24 paraganas south,2011,35.836666,473205.0,
west bengal,24 paraganas south,2012,5.6059999,492901.0,
west bengal,24 paraganas south,2013,3.768889,503952.0,
west bengal,24 paraganas south,2014,35.836666,515702.0,
west bengal,24 paraganas south,2015,35.836666,546988.0,
west bengal,24 paraganas south,2016,4.6857142,584911.0,
west bengal,24 paraganas south,2017,17.50926,623787.0,
west bengal,24 paraganas south,2018,1.0442858,659288.0,
telangana,adilabad,2000,59.799999,161790.06689829516,0.37
telangana,adilabad,2001,26.78857,161790.06689829516,0.37
telangana,adilabad,2002,32.011429,161790.06689829516,0.37
telangana,adilabad,2003,62.0,161790.06689829516,0.37
telangana,adilabad,2004,48.5,161790.06689829516,0.37
telangana,adilabad,2005,62.0,187774.5444577278,0.37
telangana,adilabad,2006,54.836365,208477.0974396334,0.37
telangana,adilabad,2007,55.700001,229691.84931694492,0.37
telangana,adilabad,2008,92.36364,260994.6924820364,0.37
telangana,adilabad,2009,81.375,261701.24352747787,0.37
telangana,adilabad,2010,69.818184,307973.2512484278,0.37
telangana,adilabad,2011,108.90909,325139.0,0.37
telangana,adilabad,2012,66.333336,334205.0,0.37
telangana,adilabad,2013,89.272728,349593.0,0.37
telangana,adilabad,2014,73.63636,372897.0,0.37
telangana,adilabad,2015,79.666664,416892.0,0.37
telangana,adilabad,2016,122.75,455731.0,0.37
telangana,adilabad,2017,52.166668,498145.0,0.37
telangana,adilabad,2018,46.0,544441.0,0.37
uttar pradesh,agra,2000,16.857143,351083.83971582167,0.26
uttar pradesh,agra,2001,35.836666,357470.77254969825,0.26
uttar pradesh,agra,2002,74.5,369037.9006500751,0.26
uttar pradesh,agra,2003,35.836666,388468.5695531362,0.26
uttar pradesh,agra,2004,26.799999,407921.1791392405,0.26
uttar pradesh,agra,2005,57.691666,431731.25103797467,0.26
uttar pradesh,agra,2006,35.836666,466022.3453164557,0.26
uttar pradesh,agra,2007,35.836666,495890.4340253165,0.26
uttar pradesh,agra,2008,35.836666,533571.6164050633,0.26
uttar pradesh,agra,2009,35.836666,566760.9320506329,0.26
uttar pradesh,agra,2010,35.836666,612018.6082025316,0.26
uttar pradesh,agra,2011,35.836666,645132.0,0.26
uttar pradesh,agra,2012,35.836666,673552.0,0.26
uttar pradesh,agra,2013,35.836666,707469.0,0.26
uttar pradesh,agra,2014,35.836666,729686.0,0.26
uttar pradesh,agra,2015,35.836666,792049.0,0.26
uttar pradesh,agra,2016,53.331429,888453.0,0.26
uttar pradesh,agra,2017,35.836666,922458.0,0.26
uttar pradesh,agra,2018,15.202857,949184.0,0.26
gujarat,ahmadabad,2000,105.8,187486.0647190792,
gujarat,ahmadabad,2001,35.836666,202722.52060396783,
gujarat,ahmadabad,2002,31.846153,220397.15650232672,
gujarat,ahmadabad,2003,35.836666,257104.347060995,
gujarat,ahmadabad,2004,25.200001,272449.2629108957,
gujarat,ahmadabad,2005,61.333332,311996.4362722108,
gujarat,ahmadabad,2006,87.058334,338383.36050177214,
gujarat,ahmadabad,2007,55.5,378395.5156254638,
gujarat,ahmadabad,2008,37.799999,394570.23835956375,
gujarat,ahmadabad,2009,89.099998,450323.76586738543,
gujarat,ahmadabad,2010,144.0,499605.5063968227,
gujarat,ahmadabad,2011,66.800003,532809.0,
gujarat,ahmadabad,2012,33.666668,596659.0,
gujarat,ahmadabad,2013,32.5,641489.0,
gujarat,ahmadabad,2014,40.272728,705629.0,
gujarat,ahmadabad,2015,16.299999,774775.0,
