state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ANDHRA PRADESH,171093.79798343318,178851.96877309735,182923.1418611468,200843.63400364135,215455.8737901584,227457.9878258872,251348.62002359648,282693.9814360441,289919.74396775843,309550.5308999029,330210.7804378922,339996.0,341335.0,360239.0,397064.0,446997.0,477566.0,526626.0,558862.0
ARUNACHAL PRADESH,4732.955556001116,5489.875019530852,5227.751158619776,5796.177059247166,6544.260887015855,6735.169375877986,7098.511338551074,7950.414810355209,8603.19867549669,9317.565924142084,9719.910696367651,10229.000000000002,10399.0,11226.0,13082.0,12889.0,13396.0,13923.0,14897.0
ASSAM,76319.67589577519,78289.23092102491,83032.90536200421,88141.65670849023,91169.23716052705,93915.07735054224,98156.54055749752,102351.6278569508,108448.12736398671,118440.20310119208,124268.10881061218,129354.0,132518.0,138725.0,146425.0,167629.0,179632.0,195262.0,204627.0
BIHAR,110615.1637047949,104271.73783034184,117457.4875518244,109883.30924089148,123786.48249318644,120702.7141776237,141592.2454273824,148922.3697701531,171625.46728329768,179835.9122150076,207295.21074574775,228497.0,236933.0,246915.0,255739.0,269200.0,289265.0,312605.0,345545.0
GOA,13778.514128181148,14312.76708756778,15183.208494568442,16223.047181374624,17958.717771381933,19455.95790197173,21364.65333562438,22295.3260449332,24047.276601228576,26318.44456376992,31500.82207139482,38009.0,32453.0,27971.0,36042.0,41929.0,46371.0,47077.0,47425.0
GUJARAT,187486.0647190792,202722.52060396783,220397.15650232672,257104.347060995,272449.2629108957,311996.4362722108,338383.36050177214,378395.5156254638,394570.23835956375,450323.76586738543,499605.5063968227,532809.0,596659.0,641489.0,705629.0,774775.0,843930.0,946511.0,1034399.0
HARYANA,108122.61080440917,116473.59577669726,123614.0477018113,135774.40240296876,147481.865369694,160804.87167161863,179088.29885884066,193107.4745746674,207975.053310876,233960.81678999265,249822.19019322115,271152.0,289756.0,314931.0,333359.0,372700.0,412055.0,434407.0,470328.0
HIMACHAL PRADESH,29338.86606780729,30834.347402586183,32336.465488850783,34502.258723685896,37776.38945663378,41021.14045059638,44248.06314239435,46998.9701663967,49293.472654984536,51967.717979678986,56319.60653806508,60536.0,64519.0,69398.0,74553.0,80563.0,88112.0,93525.0,99218.0
JAMMU AND KASHMIR,37710.04218241404,38436.2253616112,40392.58452347819,42468.16778939248,44760.52215357458,46834.049691085616,49568.64624889674,52629.93389232127,55925.67043248014,58635.28473080318,61986.75092674316,65319.0,67316.0,70536.0,67154.0,80602.0,82636.0,87591.0,93072.0
JHARKHAND,65731.49293120936,70260.19384688395,72227.4792745967,77692.98277489642,90933.9477275846,86858.23663560263,88313.3580473321,107985.77685043102,103644.40755018276,113915.95362850404,130487.88405254688,137383.0,149526.0,150609.0,170568.0,158231.0,176363.0,191573.0,208701.0
KARNATAKA,276258.6426431352,281266.3155456815,296352.99111225107,302124.54632196546,332758.6518626028,366994.563425254,405152.5474600871,455994.0619254959,488433.38238993706,488554.19922593125,538791.629511369,554952.0,593192.0,646787.0,671283.0,749952.0,851394.0,915642.0,974815.0
KERALA,147973.5597433169,155366.47487904064,166734.581417683,177540.5159176877,194266.89820535283,214150.4423028008,231069.25430291385,251690.7367210242,267167.04617471667,291324.3285363027,309967.46877313964,328021.0,348616.0,364707.0,382134.0,411150.0,443615.0,473182.0,510787.0
MADHYA PRADESH,142623.92245088037,152826.6075400632,144856.76138662823,161106.27345013304,166392.43950471698,174775.328567217,190708.6450176887,199720.8751061321,224971.1026179245,246297.10579599056,259230.23037146227,282371.0,306853.0,322598.0,339247.0,370716.0,419465.0,441956.0,482361.0
CHHATTISGARH,60613.02944903384,69095.92750038933,67928.20822216057,80689.13119305942,85010.50532014725,86399.03557352198,102835.45434201976,111148.14951274091,118439.98738179456,121728.50355879591,133465.28146971774,142273.0,148760.0,163494.0,165354.0,168879.0,187541.0,194073.0,209211.0
MAHARASHTRA,462182.04589375335,478508.99779191246,511507.574365965,551013.221724762,599028.1154943785,685815.41856348,780279.5182740722,871096.2491881064,884779.143581586,970264.8556553776,1080814.2888602451,1126595.0,1189711.0,1267551.0,1345341.0,1452513.0,1596121.0,1661065.0,1728578.0
MANIPUR,6448.741052044014,6849.892394160314,6812.575990242519,7556.571793353565,8256.254366812227,8801.529475982534,8953.991266375546,9447.25,10137.812227074235,10831.961790393014,10514.482532751092,11501.0,11515.0,12519.0,13615.0,14635.0,15201.0,16870.0,16193.0
MEGHALAYA,8197.752282332447,8746.345290121497,9005.070376764368,9565.641397823922,10229.223333009804,11028.873531980977,11860.019800058237,12232.72328448025,13804.02717655052,14691.166456371931,16143.485198485878,18028.0,18323.0,18397.0,17893.0,18330.0,19295.0,19964.0,20968.0
MIZORM,2775.7429733748354,2950.2941377975862,3234.8884276172894,3339.239667217847,3489.125993189557,3746.4490351872873,3915.090124858116,4343.961861520999,4996.719182746879,5570.971169125994,6598.809534619751,6404.0,6836.0,7831.0,9960.0,10948.0,12029.0,13779.0,14116.0
NAGALAND,4583.89551304567,5109.571603991274,5618.726446364301,5875.556765083441,6157.91992250565,6799.724895059735,7331.34388117533,7926.575395544074,8430.931869551177,8908.02583144979,9754.299644817564,10554.0,11163.0,11923.0,12406.0,12600.0,13488.0,14178.0,15055.0
ODISHA,98181.20095221567,104158.31573762312,103409.86331502158,118510.2192096142,133986.11438993324,139933.87047902113,157355.39593546148,170849.19512100978,183688.7017215425,185166.77232022237,196839.58852819703,204226.0,216301.0,233122.0,235931.0,253192.0,293348.0,316192.0,338339.0
PUNJAB,130870.00549422811,132574.969948761,134833.06381928446,143252.23215855728,150374.55025659368,157747.6323300751,174760.55643236218,189894.4098783096,200421.3967894764,213223.87539693547,226995.577251856,239227.0,251813.0,267515.0,278485.0,294895.0,315783.0,335057.0,353942.0
RAJASTHAN,174261.4982756208,194105.2216453936,170786.6612538214,225128.6442802708,219623.783673409,234376.38095379013,261962.91892931657,273897.97681369574,296931.6051077934,314236.5616057293,361436.6835150852,395331.0,409802.0,434292.0,465408.0,501922.0,529650.0,557618.0,568102.0
SIKKIM,2390.754290990875,2587.536278087175,2781.381220599949,3001.659564364464,3236.6231310466137,3560.0712401055407,3769.9912049252416,3988.479331574318,4511.137203166227,7837.726033421284,8628.138962181178,9742.0,9970.0,10590.0,11437.0,12484.0,13416.0,15204.0,15889.0
TAMILNADU,288498.3205747694,282908.6927283517,284324.36644762417,302043.121385615,337921.3167903381,386683.4090471607,447233.3527585457,475248.4774441926,500384.2601757273,552763.8529603527,628152.0055419293,674478.0,709343.0,750416.0,791915.0,862437.0,922084.0,1000308.0,1071602.0
TRIPURA,7102.207810635482,8075.8256666351135,8615.403195990635,9120.792617425555,9868.471673254282,10518.31717634006,11424.235628597184,12177.959780875111,13463.156091810555,14841.36003051106,15962.283128770545,17419.0,18857.0,20623.0,24407.0,23745.0,27204.0,29505.0,32703.0
UTTAR PRADESH,351083.83971582167,357470.77254969825,369037.9006500751,388468.5695531362,407921.1791392405,431731.25103797467,466022.3453164557,495890.4340253165,533571.6164050633,566760.9320506329,612018.6082025316,645132.0,673552.0,707469.0,729686.0,792049.0,888453.0,922458.0,949184.0
UTTARAKHAND,30800.418529264123,32261.8594656789,35282.66032922301,38073.35156458789,43081.90793963752,49190.07507393645,55116.54356563282,64750.43755213468,71643.38818533404,83904.18063244104,92718.49776294836,101960.0,109528.0,117778.0,125702.0,136144.0,150303.0,162205.0,166519.0
WEST BENGAL,247972.31111561856,265880.32837131777,275199.53359278664,291369.5209867059,310686.6999675226,330248.80030542583,356170.8313006164,383881.4906091932,399354.5969692363,430366.20743387047,456461.5424521131,473205.0,492901.0,503952.0,515702.0,546988.0,584911.0,623787.0,659288.0
ANDAMAN AND NICOBAR ISLANDS,1247.872291134466,1276.165338308159,1411.6741431926894,1560.5849177910743,1620.1492276304284,1706.4645875837948,2013.032935004372,2220.3882250072866,2558.704750801516,2888.092101428155,3139.101136694841,3404.0,3558.0,3811.0,4151.0,4483.0,5091.0,5750.0,6108.0
CHANDIGARH,7197.885205801182,7829.426373834744,8816.314705748522,9774.573171378112,10773.250271761854,11951.087883602308,13717.844301362991,14730.04849903838,15837.102600551889,16658.19132034451,16655.359979931432,16930.0,18305.0,19813.0,20353.0,22058.0,23842.0,25289.0,26654.0
DELHI,126216.14739672391,131069.97558233612,141114.6703899209,148804.8431632136,164909.1092949392,181895.0069720344,204478.45088035768,227528.50206394357,255869.67082037605,276907.04286141146,299873.5225927115,314650.0,334193.0,356528.0,387639.0,431730.0,461592.0,487631.0,506332.0
PONDICHERRY,7081.7047768822495,7561.67508551209,8311.628692746215,8684.462771771181,7499.536072341262,9499.213681934343,9855.34106546098,10634.6491055632,11610.646746609003,13704.198938470612,14620.593670139571,15160.0,15507.0,17239.0,16055.0,17025.0,18284.0,20024.0,23468.0
TELANGANA,161790.06689829516,161790.06689829516,161790.06689829516,161790.06689829516,161790.06689829516,187774.5444577278,208477.0974396334,229691.84931694495,260994.69248203636,261701.24352747787,307973.2512484278,325139.0,334205.0,349593.0,372897.0,416892.0,455731.0,498145.0,544441.0
