state,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ANDHRA PRADESH,126035.0,131750.0,134749.0,147950.0,121388.0,128150.0,141610.0,159270.0,163341.0,174401.0,186041.0,339996.0,341335.0,360239.0,397064.0,446997.0,477566.0,526626.0,558862.0
ARUNACHAL PRADESH,1607.0,1864.0,1775.0,1968.0,3188.0,3281.0,3458.0,3873.0,4191.0,4539.0,4735.0,10229.0,10399.0,11226.0,13082.0,12889.0,13396.0,13923.0,14897.0
ASSAM,32821.0,33668.0,35708.0,37905.0,47181.0,48602.0,50797.0,52968.0,56123.0,61294.0,64310.0,129354.0,132518.0,138725.0,146425.0,167629.0,179632.0,195262.0,204627.0
BIHAR,53656.0,50579.0,56975.0,53301.0,70167.0,68419.0,80260.0,84415.0,97284.0,101938.0,117503.0,228497.0,236933.0,246915.0,255739.0,269200.0,289265.0,312605.0,345545.0
GOA,5287.0,5492.0,5826.0,6225.0,10999.0,11916.0,13085.0,13655.0,14728.0,16119.0,19293.0,38009.0,32453.0,27971.0,36042.0,41929.0,46371.0,47077.0,47425.0
GUJARAT,86431.0,93455.0,101603.0,118525.0,172265.0,197270.0,213954.0,239253.0,249480.0,284732.0,315892.0,532809.0,596659.0,641489.0,705629.0,774775.0,843930.0,946511.0,1034399.0
HARYANA,51090.0,55036.0,58410.0,64156.0,86222.0,94011.0,104700.0,112896.0,121588.0,136780.0,146053.0,271152.0,289756.0,314931.0,333359.0,372700.0,412055.0,434407.0,470328.0
HIMACHAL PRADESH,13262.0,13938.0,14617.0,15596.0,21189.0,23009.0,24819.0,26362.0,27649.0,29149.0,31590.0,60536.0,64519.0,69398.0,74553.0,80563.0,88112.0,93525.0,99218.0
JAMMU AND KASHMIR,13917.0,14185.0,14907.0,15673.0,23292.0,24371.0,25794.0,27387.0,29102.0,30512.0,32256.0,65319.0,67316.0,70536.0,67154.0,80602.0,82636.0,87591.0,93072.0
JHARKHAND,26663.0,28500.0,29298.0,31515.0,53056.0,50678.0,51527.0,63005.0,60472.0,66465.0,76134.0,137383.0,149526.0,150609.0,170568.0,158231.0,176363.0,191573.0,208701.0
KARNATAKA,91136.0,92788.0,97765.0,99669.0,148729.0,164031.0,181086.0,203810.0,218309.0,218363.0,240817.0,554952.0,593192.0,646787.0,671283.0,749952.0,851394.0,915642.0,974815.0
KERALA,62909.0,66052.0,70885.0,75479.0,104776.0,115500.0,124625.0,135747.0,144094.0,157123.0,167178.0,328021.0,348616.0,364707.0,382134.0,411150.0,443615.0,473182.0,510787.0
MADHYA PRADESH,66750.0,71525.0,67795.0,75400.0,99940.0,104975.0,114545.0,119958.0,135124.0,147933.0,155701.0,282371.0,306853.0,322598.0,339247.0,370716.0,419465.0,441956.0,482361.0
CHHATTISGARH,22372.0,25503.0,25072.0,29782.0,41387.0,42063.0,50065.0,54112.0,57662.0,59263.0,64977.0,142273.0,148760.0,163494.0,165354.0,168879.0,187541.0,194073.0,209211.0
MAHARASHTRA,210526.0,217963.0,232994.0,250989.0,370023.0,423632.0,481983.0,538081.0,546533.0,599338.0,667625.0,1126595.0,1189711.0,1267551.0,1345341.0,1452513.0,1596121.0,1661065.0,1728578.0
MANIPUR,2765.0,2937.0,2921.0,3240.0,4603.0,4907.0,4992.0,5267.0,5652.0,6039.0,5862.0,11501.0,11515.0,12519.0,13615.0,14635.0,15201.0,16870.0,16193.0
MEGHALAYA,3422.0,3651.0,3759.0,3993.0,5846.0,6303.0,6778.0,6991.0,7889.0,8396.0,9226.0,18028.0,18323.0,18397.0,17893.0,18330.0,19295.0,19964.0,20968.0
